Date,Legal under any,Legal only under certain,Illegal in all,No opinion,Year
5/22/2022,35,50,13,2,2022
5/18/2021,32,48,19,2,2021
5/13/2020,29,50,20,2,2020
5/12/2019,25,53,21,2,2019
5/10/2018,29,50,18,2,2018
5/7/2017,29,50,18,3,2017
5/8/2016,29,50,19,2,2016
5/10/2015,29,51,19,1,2015
5/11/2014,28,50,21,2,2014
5/7/2013,26,52,20,2,2013
12/30/2012,28,52,18,3,2012
5/6/2012,25,52,20,3,2012
7/17/2011,26,51,20,3,2011
6/12/2011,26,52,21,1,2011
5/8/2011,27,50,22,2,2011
5/6/2010,24,54,19,3,2010
7/19/2009,21,57,18,4,2009
5/10/2009,22,53,23,2,2009
5/11/2008,28,54,17,2,2008
5/13/2007,26,55,18,1,2007
5/11/2006,30,53,15,2,2006
11/13/2005,26,56,16,2,2005
6/26/2005,24,55,20,1,2005
5/5/2005,23,53,22,2,2005
3/23/2005,23,55,20,2,2005
5/4/2004,24,56,19,1,2004
10/26/2003,26,55,17,2,2003
5/7/2003,23,57,19,1,2003
1/12/2003,24,57,18,1,2003
5/9/2002,25,51,22,2,2002
3/24/2002,27,53,19,1,2002
2/10/2002,26,54,18,2,2002
8/12/2001,26,56,17,1,2001
5/14/2001,26,58,15,1,2001
3/28/2001,26,51,18,5,2001
4/2/2000,28,51,19,2,2000
1/16/2000,26,56,15,3,2000
5/2/1999,27,55,16,2,1999
1/18/1998,23,59,17,1,1998
11/9/1997,26,55,17,2,1997
8/13/1997,22,61,15,2,1997
9/22/1996,24,52,17,7,1996
7/28/1996,25,58,15,2,1996
9/24/1995,31,54,12,3,1995
2/26/1995,33,50,15,2,1995
9/7/1994,33,52,13,2,1994
3/30/1994,31,51,15,3,1994
3/14/1993,32,51,13,4,1993
7/24/1992,34,48,15,3,1992
1/19/1992,31,53,14,2,1992
9/8/1991,33,49,14,4,1991
6/2/1991,32,50,17,1,1991
4/20/1990,31,53,12,4,1990
7/9/1989,29,51,17,3,1989
7/7/1989,29,51,17,3,1989
4/13/1989,27,50,18,5,1989
10/1/1988,24,57,17,2,1988
1/4/1985,21,55,21,3,1985
6/27/1983,23,58,16,3,1983
5/11/1981,23,52,21,4,1981
7/14/1980,25,53,18,4,1980
2/26/1979,22,54,19,5,1979
12/12/1977,22,55,19,4,1977
4/7/1975,21,54,22,3,1975
